anio,Clave_del_incendio,latitud,longitud,Clave_Municipio,Estado,Municipio,CVE_ENT,CVE_MUN,CVEGEO,Region,Predio,Causa,Causa_especifica,Fecha_Inicio,Fecha_Termino,Duracion_dias,Tipo_de_incendio,Tipo_Vegetacion,Regimen_de_fuego,Tipo_impacto,Arbolado_Adulto,Renuevo,Arbustivo,Herbaceo,Hojarasca,Total_hectareas,Tamano,Deteccion,Llegada,Duracion,Entidad,fn_Clave_del_incendio,fn_Predio,fn_Causa,fn_Causa_especifica,fn_Duracion_dias,fn_Tipo_de_incendio,fn_Tipo_Vegetacion,fn_Tipo_impacto,fn_Tamano
2022,22-01-0001,21.99725278,-102.2300972,11,Aguascalientes,San Francisco de los Romo,1,11,1101,Occidente,LA RESERVA DE MEZQUITE,Actividades ilícitas,Vandalismo,1/5/2022,1/5/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,9.0633,51.3582,0,60.4215,51 a 100 Hectáreas,2700,4500,25200,Aguascalientes,,,,,,,,,
2022,22-01-0002,21.6947,-102.2657583,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,ANP EL TECOLOTE,Actividades ilícitas,Vandalismo,1/15/2022,1/15/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,1.311,24.909,0,26.22,21 a 50 Hectáreas,4500,5400,19800,Aguascalientes,,,,,,,,,
2022,22-01-0003,21.68634444,-102.2747694,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,ANP EL TECOLOTE,Actividades ilícitas,Vandalismo,1/15/2022,1/15/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,2.125,40.375,0,42.5,21 a 50 Hectáreas,4500,5400,22500,Aguascalientes,,,,,,,,,
2022,22-01-0004,21.83769444,-102.2472333,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,COBOS,Actividades ilícitas,Vandalismo,1/28/2022,1/28/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,0.466,8.854,0,9.32,6 a 10 Hectáreas,600,1500,20400,Aguascalientes,,,,,,,,,
2022,22-01-0005,21.75218056,-102.4800861,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,CENTRO DE ARRIBA,Fumadores,Fumadores,1/31/2022,1/31/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,5.65729,50.91561,0,56.5729,51 a 100 Hectáreas,2100,6000,19800,Aguascalientes,,,,,,,,,
2022,22-01-0006,22.02495278,-102.2394833,11,Aguascalientes,San Francisco de los Romo,1,11,1101,Occidente,LA ESCONDIDA,Actividades agrícolas,Quema para preparación de siembra,2/1/2022,2/1/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,2.1662,19.4958,0,21.662,21 a 50 Hectáreas,1800,2400,28800,Aguascalientes,,,,,,,,,
2022,22-01-0007,21.88767778,-102.2641028,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,LA PONA,Actividades ilícitas,Vandalismo,2/1/2022,2/1/2022,1 Día,Superficial,Bosque de Mezquite,Otros,Impacto Mínimo,0,0,0.7973,7.1754,0,7.9727,6 a 10 Hectáreas,420,1080,9780,Aguascalientes,,,,,,,,,
2022,22-01-0008,21.99598056,-102.2130889,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,CAÑADA HONDA,Fumadores,Fumadores,2/1/2022,2/1/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,0.38987,7.40753,0,7.7974,6 a 10 Hectáreas,600,1200,14400,Aguascalientes,,,,,,,,,
2022,22-01-0009,22.144875,-102.3498306,6,Aguascalientes,Pabellón de Arteaga,1,6,601,Occidente,MOSQUEIRA,Fumadores,Fumadores,2/2/2022,2/2/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,1.0907,6.18086,0,7.27156,6 a 10 Hectáreas,900,1800,18900,Aguascalientes,,,,,,,,,
2022,22-01-0010,22.22625278,-102.3362583,7,Aguascalientes,Rincón de Romos,1,7,701,Occidente,COLOMOS,Actividades ilícitas,Vandalismo,2/12/2022,2/12/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,4.2006,12.6019,0,16.8025,11 a 20 Hectáreas,900,3300,20700,Aguascalientes,,,,,,,,,
