,anio,latitud,longitud,Clave_Municipio,CVE_ENT,CVEGEO,Arbolado_Adulto,Renuevo,Arbustivo,Herbaceo,Hojarasca,Total_hectareas,Deteccion,Llegada,Duracion,region_encode,causa_encode,Tipo_de_incendio_encode,vegetacion_encode,regimen_fuego_encode,duracion_encode,impacto_encode,tamano_encode
0,2022,21.99725278,-102.2300972,11,1,1101,0.0,0.0,9.0633,51.3582,0.0,60.4215,2700,4500,25200,4,2,3,3,5,0,0,4
1,2022,21.6947,-102.2657583,1,1,101,0.0,0.0,1.311,24.909,0.0,26.22,4500,5400,19800,4,2,3,3,5,0,0,3
2,2022,21.68634444,-102.2747694,1,1,101,0.0,0.0,2.125,40.375,0.0,42.5,4500,5400,22500,4,2,3,3,5,0,0,3
3,2022,21.83769444,-102.2472333,1,1,101,0.0,0.0,0.466,8.854,0.0,9.32,600,1500,20400,4,2,3,3,5,0,0,1
4,2022,21.75218056,-102.4800861,1,1,101,0.0,0.0,5.65729,50.91561,0.0,56.5729,2100,6000,19800,4,2,3,3,5,0,0,4
5,2022,22.02495278,-102.2394833,11,1,1101,0.0,0.0,2.1662,19.4958,0.0,21.662,1800,2400,28800,4,0,3,3,5,0,0,3
6,2022,21.88767778,-102.2641028,1,1,101,0.0,0.0,0.7973,7.1754,0.0,7.9727,420,1080,9780,4,2,3,0,5,0,0,1
7,2022,21.99598056,-102.2130889,1,1,101,0.0,0.0,0.38987,7.40753,0.0,7.7974,600,1200,14400,4,2,3,3,5,0,0,1
8,2022,22.144875,-102.3498306,6,1,601,0.0,0.0,1.0907,6.18086,0.0,7.27156,900,1800,18900,4,2,3,3,5,0,0,1
9,2022,22.22625278,-102.3362583,7,1,701,0.0,0.0,4.2006,12.6019,0.0,16.8025,900,3300,20700,4,2,3,3,5,0,0,2
10,2022,21.95178611,-102.5842056,5,1,501,0.0,0.0,0.67214,2.6885,3.3608,6.72144,600,1200,176400,4,0,3,0,0,1,0,1
11,2022,21.85175278,-102.2267833,1,1,101,0.0,0.0,8.744,13.116,0.0,21.86,900,1800,25200,4,2,3,3,5,0,0,3
12,2022,21.9957,-102.3622222,5,1,501,0.0,0.0,1.2165,23.1135,0.0,24.33,960,1800,18000,4,0,3,6,6,0,0,3
13,2022,22.13755556,-102.5047722,8,1,801,0.0,0.0,0.541452,26.531148,0.0,27.0726,1500,2700,14400,4,2,3,5,0,0,0,3
14,2022,21.71902222,-102.3616167,1,1,101,0.0,0.0,51.018,119.042,0.0,170.06,600,2100,30000,4,2,3,5,0,0,0,5
15,2022,22.26193333,-102.3355861,7,1,701,0.0,0.0,6.77367,38.38413,0.0,45.1578,2400,2700,13800,4,1,3,5,0,0,0,3
16,2022,21.82127778,-102.2528889,1,1,101,20.6317,0.0,15.47376,15.47376,0.0,51.57922,540,1440,13380,4,2,3,5,0,0,0,4
17,2022,22.15805556,-102.5061111,8,1,801,0.0,0.0,0.0,39.1853,0.0,39.1853,600,3000,18420,4,0,3,5,0,0,0,3
18,2022,22.09431111,-102.3423611,6,1,601,0.0,0.0,0.97,5.4968,0.0,6.4668,600,1800,10800,4,2,3,3,5,0,0,1
19,2022,22.23126389,-102.338525,7,1,701,0.0,0.0,3.4667,19.6448,0.0,23.1115,300,1200,14400,4,2,3,3,5,0,0,3
20,2022,22.22484444,-102.3345639,7,1,701,0.0,0.0,3.3135,18.7769,0.0,22.0904,1800,3600,23400,4,2,3,3,5,0,0,3
21,2022,22.01165,-102.3525583,5,1,501,0.107268,0.0,1.501752,9.11778,0.0,10.7268,4320,5220,23820,4,2,3,3,5,0,1,2
22,2022,21.83692222,-102.2595917,1,1,101,0.0,0.0,17.79,53.37,0.0,71.16,1800,2400,23400,4,2,3,5,0,0,0,4
23,2022,21.85271389,-102.2322806,1,1,101,0.0,0.0,10.395,24.255,0.0,34.65,1800,2400,23400,4,2,3,3,5,0,0,3
24,2022,21.89748611,-102.1664833,1,1,101,0.0,0.0,0.0,4.1391,0.0,4.1391,900,1500,10800,4,1,3,5,0,0,0,0
25,2022,22.11373056,-102.3413056,6,1,601,0.0,0.0,5.68539,13.26591,0.0,18.9513,540,3000,12000,4,1,3,3,5,0,0,2
26,2022,21.82965833,-102.2536611,1,1,101,0.32721,0.0,1.30884,4.90815,0.0,6.5442,300,900,14100,4,2,3,5,0,0,0,1
27,2022,22.14505556,-102.3642194,7,1,701,0.0,0.0,0.06488,1.23272,0.0,1.2976,300,1200,9600,4,2,3,5,0,0,0,0
28,2022,22.22169444,-102.333475,7,1,701,0.0,0.0,1.251555,7.092145,0.0,8.3437,600,1200,9000,4,2,3,3,5,0,0,1
29,2022,22.04368056,-102.1643111,11,1,1101,0.0,0.0,0.307745,5.847155,0.0,6.1549,3000,5400,15300,4,1,3,3,5,0,0,1
30,2022,22.30406111,-102.4943806,8,1,801,0.421126,0.0,3.790134,12.63378,4.21126,21.0563,7200,77400,183600,4,2,3,0,0,1,0,3
31,2022,22.36569444,-102.3736472,4,1,401,0.0,0.0,6.92608,10.38912,0.0,17.3152,9000,20400,103200,4,2,3,5,0,1,1,2
32,2022,21.97611111,-102.2284167,11,1,1101,12.52926,0.0,75.17556,162.88038,0.0,250.5852,300,900,91200,4,2,3,3,5,1,1,5
33,2022,21.863575,-102.2230972,1,1,101,0.0,0.0,0.0,7.72,0.0,7.72,1320,2700,6300,4,1,3,3,5,0,0,1
34,2022,22.041325,-102.1713694,11,1,1101,2.644764,0.0,10.579056,119.01438,0.0,132.2382,900,3300,76800,4,0,1,3,5,1,0,5
35,2022,21.80774444,-102.1362139,10,1,1001,0.0,0.0,3.69554,33.25986,0.0,36.9554,5220,7200,23220,4,2,3,5,0,0,0,3
36,2022,22.0287,-102.2400806,11,1,1101,0.14028,0.0,3.36672,10.521,0.0,14.028,1200,3000,66000,4,2,1,3,5,1,1,2
37,2022,21.73921111,-102.2466806,1,1,101,1.8284,0.0,53.0238,127.9885,0.0,182.8407,300,900,32400,4,0,1,5,0,0,1,5
38,2022,21.68816667,-102.3860528,1,1,101,1.2523,0.0,17.5322,106.4455,0.0,125.23,2700,4200,96000,4,2,3,5,0,1,0,5
39,2022,21.91282222,-102.1996694,1,1,101,0.0,0.0,4.482,10.458,0.0,14.94,9000,10800,25800,4,2,3,5,0,0,0,2
40,2022,21.79858611,-102.4332083,1,1,101,0.0,0.0,16.14,48.42,0.0,64.56,1800,7200,20700,4,2,3,5,0,0,0,4
